site,date,observerEnc,encounterType,bandNumber,rsLong,rsLat
BENNBILMA1,10/12/2014,NA,Resight-participant,273027525,NA,NA
BENNBILMA1,10/24/2014,NA,Resight-participant,265117146,NA,NA
BENNBILMA1,10/25/2014,NA,Resight-participant,273027526,NA,NA
KANEBRIMA1,11/2/2014,NA,Resight-participant,273027544,NA,NA
LEWASUSMA1,11/10/2014,NA,Resight-participant,256186608,NA,NA
ZEPKJANMA1,11/10/2014,NA,Resight-participant,258197920,NA,NA
BENNBILMA1,11/14/2014,NA,Resight-participant,265117146,NA,NA
BENNBILMA1,11/21/2014,NA,Resight-participant,269087718,NA,NA
BENNBILMA1,11/21/2014,NA,Resight-participant,273027525,NA,NA
BENNBILMA1,11/23/2014,NA,Resight-participant,273027522,NA,NA
DOPLJANMA1,12/7/2014,NA,Resight-participant,269087755,NA,NA
LEWASUSMA1,12/7/2014,NA,Resight-participant,256186608,NA,NA
HALALEEMA1,1/1/2015,NA,Resight-participant,237104362,NA,NA
HALALEEMA1,1/1/2015,NA,Resight-participant,265117104,NA,NA
DOPLJANMA1,1/9/2015,NA,Resight-participant,269087755,NA,NA
DOPLJANMA1,1/9/2015,NA,Resight-participant,275035145,NA,NA
ROSEJOSMA1,1/27/2015,NA,Resight-participant,189111047,NA,NA
STEPJANMA1,1/30/2015,NA,Resight-participant,258197904,NA,NA
CLAYBRYMA1,2/7/2015,NA,Resight-participant,256186618,NA,NA
ROSEJOSMA1,2/15/2015,NA,Resight-participant,237104368,NA,NA
CLAYBRYMA1,2/23/2015,NA,Resight-participant,256186618,NA,NA
CLAYBRYMA1,3/3/2015,NA,Resight-participant,256186618,NA,NA
LEWASUSMA1,3/6/2015,NA,Resight-participant,256186608,NA,NA
CLAYBRYMA1,3/18/2015,NA,Resight-participant,272099521,NA,NA
DOPLJANMA1,3/18/2015,NA,Resight-participant,269087755,NA,NA
GRIFRACMA1,3/20/2015,NA,Resight-participant,189111072,NA,NA
MERIMARMA1,3/24/2015,NA,Resight-participant,269087792,NA,NA
MERIMARMA1,3/24/2015,NA,Resight-participant,269087793,NA,NA
CLAYBRYMA1,3/25/2015,NA,Resight-participant,256186618,NA,NA
CLAYBRYMA1,3/28/2015,NA,Resight-participant,269087917,NA,NA
CLAYBRYMA1,3/28/2015,NA,Resight-participant,272099521,NA,NA
CLAYBRYMA1,4/2/2015,NA,Resight-participant,256186618,NA,NA
GRIFRACMA1,4/2/2015,NA,Resight-participant,121236664,NA,NA
HALALEEMA1,4/2/2015,NA,Resight-participant,273027504,NA,NA
DOPLJANMA1,4/3/2015,NA,Resight-participant,269087755,NA,NA
CLAYBRYMA1,4/8/2015,NA,Resight-participant,256186618,NA,NA
FAERHOWMA1,4/11/2015,NA,Resight-participant,273027506,NA,NA
HALALEEMA1,4/11/2015,NA,Resight-participant,121236683,NA,NA
GRIFRACMA1,4/12/2015,NA,Resight-participant,135263516,NA,NA
BAKENANMA1,4/14/2015,NA,Resight-participant,269087830,NA,NA
HAZZANNMA1,4/14/2015,NA,Resight-participant,272099513,NA,NA
BAKENANMA1,4/16/2015,NA,Resight-participant,256186610,NA,NA
WILDSIEMA1,4/17/2015,NA,Resight-participant,256185701,-72.87694,42.403316
JORGJANMA1,4/19/2015,NA,Resight-participant,121252838,NA,NA
ANDEHALMA1,4/22/2015,NA,Resight-participant,272099540,NA,NA
HAZZANNMA1,4/23/2015,NA,Resight-participant,272099514,NA,NA
AKREMIKMA2,4/24/2015,NA,Resight-participant,269106139,NA,NA
DOPLJANMA1,4/26/2015,NA,Resight-participant,269087755,NA,NA
BAKENANMA1,4/28/2015,NA,Resight-participant,269087715,NA,NA
BAKENANMA1,4/28/2015,NA,Resight-participant,269087830,NA,NA
CLAYBRYMA1,4/28/2015,NA,Resight-participant,269087917,NA,NA
CLAYBRYMA1,4/28/2015,NA,Resight-participant,272099521,NA,NA
LEWASUSMA1,4/30/2015,NA,Resight-participant,256186608,NA,NA
TOSCPAMMA1,5/3/2015,NA,Resight-participant,237104377,NA,NA
GRIFRACMA1,5/6/2015,NA,Resight-participant,264185630,NA,NA
ROSEJOSMA1,5/6/2015,NA,Resight-participant,265117112,NA,NA
CLAYBRYMA1,5/7/2015,NA,Resight-participant,269087917,NA,NA
GRIFRACMA1,5/7/2015,NA,Resight-participant,189111072,NA,NA
KANEBRIMA1,5/7/2015,NA,Resight-technician,273027546,NA,NA
ROSEJOSMA1,5/7/2015,NA,Resight-participant,265117111,NA,NA
TOSCPAMMA1,5/7/2015,NA,Resight-participant,265117135,NA,NA
DOPLJANMA1,5/8/2015,NA,Resight-participant,264185626,NA,NA
MERIMARMA1,5/10/2015,NA,Resight-participant,269087789,NA,NA
MERIMARMA1,5/10/2015,NA,Resight-participant,269087793,NA,NA
CLAYBRYMA1,5/15/2015,NA,Resight-participant,272099521,NA,NA
WILLJUDMA1,5/15/2015,NA,Resight-technician,256186629,NA,NA
LEWASUSMA1,5/16/2015,NA,Resight-technician,264185647,NA,NA
REIDLOLMA1,5/20/2015,NA,Resight-technician,265117129,NA,NA
BAKENANMA1,5/23/2015,NA,Resight-technician,273027519,NA,NA
MERIMARMA1,5/24/2015,NA,Resight-participant,269087789,NA,NA
BRIDNATMA1,5/25/2015,NA,Resight-technician,256186663,NA,NA
HIGGBETMA1,5/26/2015,NA,Resight-technician,265117117,NA,NA
HODGBENMA1,5/29/2015,NA,Resight-technician,264185619,NA,NA
BULLTHOMA1,6/1/2015,NA,Resight-participant,135263501,NA,NA
DELUBILMA1,6/1/2015,NA,Resight-technician,135263520,NA,NA
DELUBILMA1,6/1/2015,NA,Resight-technician,253191185,NA,NA
PRANSABMA1,6/3/2015,NA,Resight-technician,264185637,NA,NA
PRANSABMA1,6/3/2015,NA,Resight-technician,272099541,NA,NA
HAZZANNMA1,6/4/2015,NA,Resight-participant,272099636,NA,NA
GAIEMELMA1,6/7/2015,NA,Resight-technician,229144294,NA,NA
GAIEMELMA1,6/7/2015,NA,Resight-technician,237104314,NA,NA
GRIFRACMA1,6/8/2015,NA,Resight-participant,264185630,NA,NA
GRIFRACMA1,6/9/2015,NA,Resight-participant,189111072,NA,NA
SHEAMARMA1,6/10/2015,NA,Resight-technician,264185667,NA,NA
GRIFRACMA1,6/12/2015,NA,Resight-participant,135263516,NA,NA
GRIFRACMA1,6/13/2015,NA,Resight-participant,121236664,NA,NA
