hub,site,date,observerEnc,encounterType,speciesEnc,bandNumber,colorCombo,age,sex,breedingCond,fat,mass,wing,tl,tarsus,featherID,attachmentID,rsLong,rsLat,notesEnc
Springfield,SVECSTEMA1,7/17/2012,,Band,NOCA,2531-91145,"Y/BK,A",AHY,F,BP,NULL,41.71,89,94,25.6,NULL,,,, 
Springfield,PAGEALLMA1,7/18/2012,,Band,BCCH,2690-87837,"A,O/BU",HY,U,J,NULL,11,60,48,17.6,NULL,,,, 
Springfield,WILSMARMA1,7/19/2012,,Band,BCCH,2690-87944,"O/A,W",AHY,M,CP,NULL,10.74,66,63,17,NULL,,,, 
Springfield,ANDEHALMA1,7/19/2012,,Band,GRCA,1891-11024,"O/BU,A",AHY,M,CP,NULL,36,90,93,27.1,NULL,,,, 
Springfield,STIEDAVMA1,7/20/2012,,Band,AMRO,1212-36677,"A/BU,Y",AHY,F,BP,NULL,75.93,126,92,32.6,NULL,,,, 
Springfield,STIEDAVMA1,7/20/2012,,Band,AMRO,1212-36675,"A/G,G",HY,U,J,NULL,70.32,129,94,32.65,NULL,,,, 
Springfield,STIEDAVMA1,7/20/2012,,Band,AMRO,1212-36676,"O/R,A",HY,U,J,NULL,74.7,128,96,32.3,NULL,,,, 
Springfield,STIEDAVMA1,7/20/2012,,Band,BCCH,2690-87948,"A/W,W",HY,U,J,NULL,12.02,67,64,16.8,NULL,,,, 
Springfield,STIEDAVMA1,7/20/2012,,Band,BCCH,2690-87947,"O,A/O",AHY,M,CP,NULL,11.64,66,61,18.1,NULL,,,, 
Springfield,STIEDAVMA1,7/20/2012,,Band,BCCH,2690-87946,"P,A/P",HY,U,J,NULL,11.1,61,61,17.2,NULL,,,, 
Springfield,STIEDAVMA1,7/20/2012,,Band,CARW,2571-83012,"A/BU,G",AHY,F,BP,NULL,19.17,59,47,21,NULL,,,, 
Springfield,STIEDAVMA1,7/20/2012,,Band,GRCA,2531-91146,"O/W,A",AHY,M,CP,NULL,31.19,91,91,28.3,NULL,,,, 
Springfield,STIEDAVMA1,7/20/2012,,Band,NOCA,2531-91147,"PK/PK,A",AHY,F,BP,NULL,37.49,89,90,23.5,NULL,,,, 
Springfield,STEPJANMA1,7/20/2012,,Band,CARW,2291-44296,"W/P,A",AHY,F,BP,NULL,20,64,52,22.1,NULL,,,, 
Springfield,STEPJANMA1,7/20/2012,,Band,GRCA,1891-11025,"BU,A/G",AHY,M,CP,NULL,38,88,89,27.5,NULL,,,, 
Springfield,STEPJANMA1,7/20/2012,,Band,SOSP,2291-44297,"O/BU,A",AHY,M,CP,NULL,22,70,70,23.1,NULL,,,, 
Springfield,BARDBARMA1,7/21/2012,,Band,AMRO,1212-36678,"Y/A,BU",AHY,M,CP,NULL,84.6,130,97,33.6,NULL,,,, 
Springfield,MURPTHEMA1,7/21/2012,,Band,GRCA,1891-11029,"BK/G,A",AHY,F,BP,NULL,32.9,87,90,26.8,NULL,,,, 
Springfield,MURPTHEMA1,7/21/2012,,Band,GRCA,1891-11027,"O,BU/A",AHY,M,CP,NULL,36,91,95,28,NULL,,,, 
Springfield,MURPTHEMA1,7/21/2012,,Band,GRCA,1891-11026,"O/O,A",AHY,F,BP,NULL,38.1,89,89,26.8,NULL,,,, 
Springfield,MURPTHEMA1,7/21/2012,,Band,GRCA,1891-11030,"R/A,R",AHY,F,BP,NULL,38.6,84,83,28.5,NULL,,,, 
